product_code,sku_code,merchant_code
EZ.04.050,sku11614249146828,LZC.PH
EZ.04.050,sku11614249146828,CPO.PH
EZ.04.050,sku21614249146834,BLW.PH
EZ.04.050,sku21614249146834,LZC.PH
EZ.04.050,sku21614249146834,CPO.PH
EZ.04.033,sku21614249836555,MPH.21
EZ.04.033,sku21614249836555,WARLG.PH
EZ.04.033,sku21614249836555,WARTT.PH
EZ.04.033,sku21614249836555,WARVK.PH
EZ.04.033,sku21614249836555,BLW.PH
EZ.04.033,sku21614249836555,CPO.PH
EZ.04.033,sku21614249836555,AMZ.PH
EZ.04.033,sku21614249836555,WAR.PH
EZ.04.033,sku21614249836555,LZC.PH
EZ.04.107,sku01614513842944,LZC.PH
EZ.04.107,sku01614513842944,CPO.PH
EZ.04.107,sku01614513842944,AMZ.PH
EZ.04.107,sku11614513842951,LZC.PH
EZ.04.107,sku11614513842951,CPO.PH
EZ.04.107,sku11614513842951,AMZ.PH
EZ.04.073,sku01614592900367,MPH.12
EZ.04.073,sku01614592900367,MPH.11
EZ.04.073,sku01614592900367,MPH.10
EZ.04.049.ID,sku01614754916673,AMZ.ID
EZ.04.049.ID,sku11614754916790,AMZ.ID
EZ.04.091,sku01614840675888,CPO.PH
EZ.04.091,sku01614840675888,AMZ.PH
EZ.04.094,sku01614941102237,CPO.PH
EZ.04.032.TH,sku01615020049486,EZT.TH
EZ.04.064,sku01615024058916,EZT.TH
EZ.04.015.TH,sku01615103034009,AMZ.TH
EZ.04.015.TH,sku01615103034009,EZT.TH
EZ.04.015.TH,sku01615103034009,LZC.TH
EZ.04.015.TH,sku11615103034305,AMZ.TH
EZ.04.015.TH,sku11615103034305,EZT.TH
EZ.04.015.TH,sku11615103034305,LZC.TH
EZ.04.015.TH,sku21615103034897,AMZ.TH
EZ.04.015.TH,sku21615103034897,EZT.TH
EZ.04.015.TH,sku21615103034897,LZC.TH
EZ.04.015.TH,sku31615103034935,AMZ.TH
EZ.04.015.TH,sku31615103034935,EZT.TH
EZ.04.015.TH,sku31615103034935,LZC.TH
EZ.04.015.TH,sku41615103034963,AMZ.TH
EZ.04.015.TH,sku41615103034963,EZT.TH
